age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
869,32.0,Oklahoma,1988,1,12,Harvey Grant,205.74,WAS
870,32.0,St. Mary's (TX),Undrafted,Undrafted,Undrafted,Henry James,203.2,CLE
871,27.0,Morehouse,Undrafted,Undrafted,Undrafted,Harold Ellis,195.58,DEN
872,28.0,Arizona State,1991,2,48,Ike Austin,208.28,LAC
873,31.0,Bradley,1988,1,6,Hersey Hawkins,190.5,SEA
874,32.0,Clemson,1987,1,10,Horace Grant,208.28,ORL
875,24.0,Grand Canyon,Undrafted,Undrafted,Undrafted,Horacio Llamas,210.82,PHX
876,35.0,Tulane,1985,2,45,Hot Rod Williams,210.82,PHX
877,25.0,Boston College,1994,2,30,Howard Eisley,187.96,UTA
878,28.0,North Carolina,1992,1,20,Hubert Davis,195.58,DAL
879,40.0,Ohio State,1981,1,14,Herb Williams,208.28,NYK
880,23.0,Baylor,1998,1,22,Brian Skinner,205.74,LAC
881,33.0,California-Santa Barbara,1988,1,24,Brian Shaw,198.12,POR
882,27.0,Xavier,1994,1,8,Brian Grant,205.74,POR
883,30.0,Oklahoma,1992,2,32,Brent Price,185.42,HOU
884,23.0,Stanford,1997,1,16,Brevin Knight,177.8,CLE
885,27.0,Oregon State,1995,1,15,Brent Barry,198.12,CHI
886,28.0,Cal State-Fullerton,Undrafted,Undrafted,Undrafted,Bruce Bowen,200.66,BOS
887,25.0,Indiana,1996,1,27,Brian Evans,203.2,MIN
888,19.0,None,1998,2,35,Bruno Sundov,218.44,DAL
889,29.0,Cal State-Fullerton,1990,2,48,Cedric Ceballos,198.12,DAL
890,28.0,Virginia,1992,1,13,Bryant Stith,195.58,DEN
891,24.0,Valparaiso,1998,1,16,Bryce Drew,190.5,HOU
892,28.0,Long Beach State,1993,2,45,Bryon Russell,200.66,UTA
893,27.0,Indiana,1993,1,6,Calbert Cheaney,200.66,WAS
894,32.0,Houston,1990,2,30,Carl Herrera,205.74,DEN
895,28.0,Tennessee State,1994,1,11,Carlos Rogers,210.82,POR
896,23.0,Toledo,1998,2,37,Casey Shaw,210.82,PHI
897,24.0,Davidson,Undrafted,Undrafted,Undrafted,Brandon Williams,198.12,SAS
898,24.0,Memphis,1997,2,44,Cedric Henderson,200.66,CLE
899,26.0,Oklahoma State,1995,1,6,Bryant Reeves,213.36,VAN
900,23.0,Purdue,Undrafted,Undrafted,Undrafted,Brad Miller,210.82,CHH
901,29.0,Arizona,1992,2,30,Sean Rooks,208.28,LAL
902,29.0,Southern,1991,2,45,Bobby Phills,195.58,CHH
903,36.0,Auburn,1984,1,5,Charles Barkley,198.12,HOU
904,24.0,Alabama,1995,1,2,Antonio McDyess,205.74,DEN
905,35.0,Nevada-Las Vegas,1987,1,2,Armen Gilliam,205.74,MIL
906,34.0,None,1986,1,24,Arvydas Sabonis,220.98,POR
907,24.0,Providence,1997,1,12,Austin Croshere,205.74,IND
908,34.0,Southern,Undrafted,Undrafted,Undrafted,Avery Johnson,180.34,SAS
909,31.0,Iowa,1989,1,18,B.J. Armstrong,187.96,ORL
910,26.0,Arizona,1996,2,43,Ben Davis,205.74,NYK
911,24.0,Virginia Union,Undrafted,Undrafted,Undrafted,Ben Wallace,205.74,WAS
912,34.0,Creighton,1985,1,3,Benoit Benjamin,213.36,PHI
913,27.0,Boston College,1994,1,22,Bill Curley,205.74,MIN
914,36.0,St. John's (NY),1985,1,16,Bill Wennington,213.36,CHI
915,30.0,Syracuse,1991,1,3,Billy Owens,203.2,SEA
916,31.0,Virginia Tech,1990,2,40,Bimbo Coles,187.96,GSW
917,30.0,Arizona,1991,1,10,Bison Dele,210.82,DET
918,33.0,East Carolina,1989,1,21,Blue Edwards,193.04,MIA
919,28.0,Houston,Undrafted,Undrafted,Undrafted,Bo Outlaw,203.2,ORL
920,26.0,Florida State,1995,1,17,Bob Sura,195.58,CLE
921,26.0,Minnesota,1997,1,23,Bobby Jackson,185.42,MIN
922,22.0,Ball State,1998,1,11,Bonzi Wells,195.58,POR
923,24.0,UCLA,1997,2,31,Charles O'Bannon,195.58,DET
924,32.0,Duke,1989,1,2,Danny Ferry,208.28,CLE
925,23.0,Long Island-Brooklyn,Undrafted,Undrafted,Undrafted,Charles R. Jones,190.5,CHI
926,21.0,Oregon State,1998,1,28,Corey Benjamin,198.12,CHI
927,30.0,Cincinnati,1993,1,25,Corie Blount,208.28,CLE
928,25.0,Arkansas,1995,1,13,Corliss Williamson,200.66,SAC
929,26.0,Virginia,1995,1,29,Cory Alexander,185.42,DEN
930,23.0,Texas Tech,1998,2,49,Cory Carr,193.04,CHI
931,23.0,Rhode Island,1998,2,41,Cuttino Mobley,193.04,HOU
932,30.0,Clemson,1991,1,13,Dale Davis,210.82,IND
933,38.0,Tennessee,1983,1,9,Dale Ellis,200.66,SEA
934,28.0,Arkansas,Undrafted,Undrafted,Undrafted,Corey Beck,190.5,CHH
935,22.0,Houston,Undrafted,Undrafted,Undrafted,Damon Jones,190.5,BOS
936,33.0,Central Michigan,1988,1,14,Dan Majerle,198.12,MIA
937,40.0,Syracuse,1981,1,13,Dan Schayes,210.82,ORL
938,32.0,Boston College,1989,1,16,Dana Barros,180.34,BOS
939,27.0,Duke,1994,2,29,Antonio Lang,203.2,CLE
940,23.0,Cincinnati,1997,1,10,Danny Fortson,200.66,DEN
941,33.0,Kansas,1988,1,1,Danny Manning,208.28,PHX
942,31.0,Fayetteville State,Undrafted,Undrafted,Undrafted,Darrell Armstrong,185.42,ORL
943,28.0,UCLA,Undrafted,Undrafted,Undrafted,Darrick Martin,180.34,LAC
944,25.0,Arizona,1995,1,7,Damon Stoudamire,177.8,POR
945,32.0,Connecticut,1989,2,36,Clifford Robinson,208.28,PHX
946,28.0,Southern Mississippi,1992,1,9,Clar. Weatherspoon,200.66,MIA
947,31.0,North Carolina State,1989,2,43,Chucky Brown,203.2,CHH
948,33.0,North Carolina State,1988,2,32,Charles Shackleford,210.82,CHH
949,23.0,New Mexico,1997,1,26,Charles Smith,193.04,LAC
950,28.0,Florida State,1994,1,26,Charlie Ward,187.96,NYK
951,22.0,Colorado,1997,1,3,Chauncey Billups,190.5,DEN
952,26.0,Duke,1995,1,12,Cherokee Parks,210.82,VAN
953,24.0,None,1997,1,18,Chris Anstey,213.36,DAL
954,25.0,Southern Illinois,1995,2,56,Chris Carr,198.12,NJN
955,31.0,Boise State,Undrafted,Undrafted,Undrafted,Chris Childs,190.5,NYK
956,24.0,Marquette,1997,2,50,Chris Crawford,205.74,ATL
957,34.0,Yale,1987,4,75,Chris Dudley,210.82,NYK
958,31.0,Old Dominion,1991,1,16,Chris Gatling,208.28,MIL
959,29.0,Wake Forest,1992,2,45,Chris King,203.2,UTA
960,29.0,Arizona,1993,1,22,Chris Mills,200.66,GSW
961,33.0,Auburn,1988,1,4,Chris Morris,203.2,PHX
962,35.0,St. John's (NY),1985,1,7,Chris Mullin,200.66,IND
963,26.0,Michigan,1993,1,1,Chris Webber,208.28,SAC
964,27.0,Clemson,1993,2,47,Chris Whitney,182.88,WAS
965,29.0,Duke,1992,1,3,Christian Laettner,210.82,DET
966,35.0,Auburn,1986,1,4,Chuck Person,203.2,CHH
967,35.0,Virginia Union,1985,1,9,Charles Oakley,205.74,TOR
968,30.0,Texas-El Paso,1990,2,45,Antonio Davis,205.74,IND
969,25.0,Santa Clara,1996,1,15,Steve Nash,190.5,DAL
970,22.0,Kentucky,1996,1,6,Antoine Walker,205.74,BOS
971,24.0,Connecticut,1996,1,29,Travis Knight,213.36,LAL
972,26.0,Georgia Tech,1995,1,23,Travis Best,180.34,IND
973,27.0,UCLA,1992,1,18,Tracy Murray,200.66,WAS
974,20.0,None,1997,1,9,Tracy McGrady,203.2,TOR
975,31.0,Maryland,1990,2,43,Tony Massenburg,205.74,VAN
976,25.0,Kentucky,1996,1,16,Tony Delk,187.96,GSW
977,23.0,Texas Tech,1997,1,5,Tony Battie,210.82,BOS
978,30.0,None,1990,2,29,Toni Kukoc,210.82,CHI
979,30.0,South Carolina State,Undrafted,Undrafted,Undrafted,Travis Williams,198.12,CHH
980,32.0,Georgia Tech,1989,1,9,Tom Hammonds,205.74,MIN
981,24.0,North Carolina State,1996,1,11,Todd Fuller,210.82,UTA
982,23.0,UCLA,1998,2,45,Toby Bailey,198.12,PHX
983,22.0,Villanova,1997,1,7,Tim Thomas,208.28,MIL
984,32.0,La Salle,Undrafted,Undrafted,Undrafted,Tim Legler,193.04,WAS
985,32.0,Texas-El Paso,1989,1,14,Tim Hardaway,182.88,MIA
986,23.0,Wake Forest,1997,1,1,Tim Duncan,213.36,SAS
987,38.0,North Carolina State,1983,1,7,Thurl Bailey,210.82,UTA
988,26.0,Wyoming,1995,1,18,Theo Ratliff,208.28,PHI
989,29.0,North Carolina State,1992,1,6,Tom Gugliotta,208.28,PHX
990,25.0,Minnesota,Undrafted,Undrafted,Undrafted,Trevor Winter,213.36,MIN
991,23.0,Southern Illinois,Undrafted,Undrafted,Undrafted,Troy Hudson,185.42,LAC
992,36.0,DePaul,1985,2,35,Tyrone Corbin,198.12,ATL
993,24.0,None,1996,1,20,Zydrunas Ilgauskas,220.98,CLE
994,31.0,Minnesota,1990,1,9,Willie Burton,203.2,CHH
995,25.0,Temple,Undrafted,Undrafted,Undrafted,William Cunningham,210.82,NJN
996,33.0,Vanderbilt,1988,1,11,Will Perdue,213.36,SAS
997,28.0,Auburn,1994,1,23,Wesley Person,198.12,CLE
998,25.0,Kentucky,1996,1,19,Walter McCarty,208.28,BOS
999,29.0,Maryland,1992,1,7,Walt Williams,203.2,POR
1000,26.0,Minnesota,1994,2,46,Voshon Lenard,193.04,MIA
1001,23.0,None,1998,1,27,Vladimir Stepania,213.36,SEA
1002,31.0,None,1989,1,26,Vlade Divac,215.9,SAC
1003,24.0,Wright State,1996,1,12,Vitaly Potapenko,208.28,BOS
1004,32.0,North Carolina State,1988,2,29,Vinny Del Negro,193.04,MIL
1005,22.0,North Carolina,1998,1,5,Vince Carter,200.66,TOR
1006,27.0,Hartford,1993,1,8,Vin Baker,210.82,SEA
1007,33.0,Florida,1988,2,47,Vernon Maxwell,193.04,SAC
1008,23.0,Rhode Island,1998,2,47,Tyson Wheeler,177.8,DEN
1009,22.0,Nebraska,1998,1,23,Tyronn Lue,182.88,LAL
1010,23.0,Nevada-Las Vegas,Undrafted,Undrafted,Undrafted,Tyrone Nesby,198.12,LAC
1011,31.0,Xavier,1990,1,11,Tyrone Hill,205.74,PHI
1012,36.0,Wisconsin-Stevens Point,1985,1,24,Terry Porter,190.5,MIA
1013,31.0,Michigan,1990,1,16,Terry Mills,208.28,MIA
1014,27.0,Seton Hall,1993,1,13,Terry Dehere,193.04,VAN
1015,32.0,Virginia Union,Undrafted,Undrafted,Undrafted,Terry Davis,205.74,WAS
1016,19.0,None,1998,1,25,Al Harrington,205.74,IND
1017,26.0,Indiana,1995,1,16,Alan Henderson,205.74,ATL
1018,28.0,Tennessee,1993,1,11,Allan Houston,198.12,NYK
1019,24.0,Georgetown,1996,1,1,Allen Iverson,182.88,PHI
1020,29.0,Georgetown,1992,1,2,Alonzo Mourning,208.28,MIA
1021,24.0,Louisville,Undrafted,Undrafted,Undrafted,Alvin Sims,193.04,PHX
1022,24.0,Villanova,1997,2,47,Alvin Williams,195.58,TOR
1023,23.0,Indiana,1998,2,46,Andrae Patterson,205.74,MIN
1024,26.0,Florida,1995,2,34,Andrew DeClercq,208.28,CLE
1025,33.0,Seton Hall,Undrafted,Undrafted,Undrafted,Andrew Gaze,200.66,SAS
1026,33.0,Arkansas,1988,2,28,Andrew Lang,210.82,CHI
1027,27.0,Memphis,1993,1,3,Anfernee Hardaway,200.66,ORL
1028,23.0,North Carolina,1998,1,4,Antawn Jamison,205.74,GSW
1029,29.0,Seton Hall,1991,1,15,Anthony Avent,205.74,UTA
1030,24.0,College of Charleston,1997,2,39,Anthony Johnson,190.5,ATL
1031,27.0,Michigan State,1994,2,39,Anthony Miller,205.74,HOU
1032,24.0,Bradley,1997,1,21,Anthony Parker,198.12,PHI
1033,29.0,Missouri,1992,1,15,Anthony Peeler,193.04,MIN
1034,37.0,Wichita State,1983,1,8,Antoine Carr,205.74,HOU
1035,28.0,Kansas,1993,2,42,Adonis Jordan,180.34,MIL
1036,24.0,Bowling Green,1997,1,4,Antonio Daniels,193.04,SAS
1037,24.0,Colgate,1997,1,8,Adonal Foyle,208.28,GSW
1038,27.0,Xavier,Undrafted,Undrafted,Undrafted,Aaron Williams,205.74,SEA
1039,38.0,DePaul,1982,1,2,Terry Cummings,205.74,GSW
1040,29.0,Oregon,1991,1,11,Terrell Brandon,180.34,MIN
1041,24.0,San Jose State,1997,1,11,Tariq Abdul-Wahad,198.12,SAC
1042,35.0,None,Undrafted,Undrafted,Undrafted,Stojko Vrankovic,218.44,LAC
1043,30.0,Michigan State,1991,1,5,Steven Smith,203.2,ATL
1044,33.0,Navy,1987,1,1,David Robinson,215.9,SAS
1045,33.0,Arizona,1988,2,50,Steve Kerr,190.5,SAS
1046,31.0,Kansas State,1990,2,44,Steve Henson,180.34,DET
1047,22.0,Georgia Tech,1996,1,4,Stephon Marbury,187.96,NJN
1048,29.0,Louisiana State,1991,1,23,Stanley Roberts,213.36,HOU
1049,30.0,Nevada-Las Vegas,1991,1,9,Stacey Augmon,203.2,POR
1050,32.0,Syracuse,1989,2,28,Sherman Douglas,185.42,LAC
1051,27.0,Michigan State,1995,1,8,Shawn Respert,185.42,PHX
1052,29.0,Trinity Valley Community College,1989,1,17,Shawn Kemp,208.28,CLE
1053,27.0,Brigham Young,1993,1,2,Shawn Bradley,228.6,DAL
1054,22.0,California,1996,1,3,Shareef Abdur-Rahim,205.74,VAN
1055,27.0,Louisiana State,1992,1,1,Shaquille O'Neal,215.9,LAL
1056,35.0,Oregon State,1985,1,23,A.C. Green,205.74,DAL
1057,26.0,Temple,1994,1,17,Aaron McKie,195.58,PHI
1058,29.0,Stanford,1992,1,10,Adam Keefe,205.74,UTA
1059,26.0,Memphis,1995,1,25,David Vaughn,205.74,NJN
1060,28.0,Baylor,Undrafted,Undrafted,Undrafted,David Wesley,185.42,CHH
1061,35.0,Georgetown,1986,2,44,David Wingate,195.58,NYK
1062,25.0,Washington State,1996,2,31,Mark Hendrickson,205.74,NJN
1063,34.0,St. John's (NY),1987,1,18,Mark Jackson,190.5,IND
1064,30.0,Temple,1991,1,8,Mark Macon,193.04,DET
1065,26.0,Kentucky,1996,2,52,Mark Pope,208.28,IND
1066,28.0,Temple,Undrafted,Undrafted,Undrafted,Mark Strickland,208.28,MIA
1067,38.0,Old Dominion,1983,2,30,Mark West,208.28,ATL
1068,22.0,None,1997,2,33,Marko Milic,198.12,PHX
1069,23.0,Santa Clara,Undrafted,Undrafted,Undrafted,Marlon Garnett,187.96,BOS
1070,31.0,Providence,Undrafted,Undrafted,Undrafted,Marty Conlon,208.28,MIA
1071,32.0,Iowa,Undrafted,Undrafted,Undrafted,Matt Bullard,208.28,HOU
1072,29.0,Georgia Tech,1992,2,42,Matt Geiger,215.9,PHI
1073,23.0,Georgia Tech,1998,1,15,Matt Harpring,200.66,ORL
1074,27.0,Pennsylvania,Undrafted,Undrafted,Undrafted,Matt Maloney,190.5,HOU
1075,26.0,Texas Tech,1995,2,48,Mark Davis,200.66,MIA
1076,22.0,Michigan,1997,1,14,Maurice Taylor,205.74,LAC
1077,24.0,Arizona,1998,1,14,Michael Dickerson,195.58,HOU
1078,22.0,Utah,1998,1,12,Michael Doleac,210.82,ORL
1079,26.0,Wisconsin,1995,1,21,Michael Finley,200.66,DAL
1080,26.0,Xavier,Undrafted,Undrafted,Undrafted,Michael Hawkins,182.88,SAC
1081,24.0,Pacific,1998,1,1,Michael Olowokandi,213.36,LAC
1082,27.0,Providence,1994,2,35,Michael Smith,203.2,VAN
1083,24.0,California,Undrafted,Undrafted,Undrafted,Michael Stewart,208.28,TOR
1084,32.0,Baylor,1988,2,48,Micheal Williams,187.96,TOR
1085,21.0,Arizona,1998,1,2,Mike Bibby,187.96,VAN
1086,23.0,Nebraska,Undrafted,Undrafted,Undrafted,Mikki Moore,213.36,DET
1087,23.0,Arizona,1998,2,42,Miles Simon,190.5,ORL
1088,33.0,Kansas State,1988,1,5,Mitch Richmond,195.58,WAS
1089,28.0,UCLA,Undrafted,Undrafted,Undrafted,Mitchell Butler,195.58,CLE
1090,30.0,Georgia Southern,Undrafted,Undrafted,Undrafted,Michael Curry,195.58,MIL
1091,27.0,Notre Dame,1994,1,24,Monty Williams,203.2,DEN
1092,34.0,Seton Hall,1988,1,21,Mark Bryant,205.74,CHI
1093,35.0,American International,1985,7,160,Mario Elie,195.58,SAS
1094,24.0,Nevada-Las Vegas,1998,1,13,Keon Clark,210.82,DEN
1095,25.0,Villanova,1996,1,8,Kerry Kittles,195.58,NJN
1096,23.0,None,1995,1,5,Kevin Garnett,210.82,MIN
1097,26.0,Connecticut,Undrafted,Undrafted,Undrafted,Kevin Ollie,193.04,ORL
1098,36.0,Michigan State,1984,1,11,Kevin Willis,213.36,TOR
1099,26.0,Arizona,1994,1,12,Khalid Reeves,190.5,DET
1100,20.0,None,1996,1,13,Kobe Bryant,200.66,LAL
1101,20.0,None,1998,2,40,Korleone Young,200.66,DET
1102,27.0,None,Undrafted,Undrafted,Undrafted,Kornel David,205.74,CHI
1103,26.0,Texas Christian,1995,1,10,Kurt Thomas,205.74,NYK
1104,29.0,Notre Dame,1992,1,5,LaPhonso Ellis,203.2,ATL
1105,26.0,California,1994,1,7,Lamond Murray,200.66,LAC
1106,20.0,Saint Louis,1998,1,8,Larry Hughes,195.58,PHI
1107,29.0,Ohio State,Undrafted,Undrafted,Undrafted,Mark Baker,185.42,TOR
1108,30.0,Nevada-Las Vegas,1991,1,1,Larry Johnson,200.66,NYK
1109,28.0,Ohio State,1994,2,51,Lawrence Funderburke,205.74,SAC
1110,29.0,Arkansas,1992,1,23,Lee Mayberry,185.42,VAN
1111,28.0,Jackson State,1993,1,10,Lindsey Hunter,187.96,DET
1112,29.0,Georgia,1992,2,39,Litterial Green,185.42,CLE
1113,26.0,Iowa State,1995,1,24,Loren Meyer,208.28,DEN
1114,23.0,Memphis,1996,1,7,Lorenzen Wright,210.82,LAC
1115,31.0,Michigan,1990,1,13,Loy Vaught,205.74,DET
1116,30.0,New Mexico,1991,1,7,Luc Longley,218.44,PHX
1117,28.0,Long Beach State,1993,2,28,Lucious Harris,195.58,NJN
1118,24.0,Drexel,1996,2,44,Malik Rose,200.66,SAS
1119,29.0,St. John's (NY),1992,1,14,Malik Sealy,203.2,MIN
1120,25.0,Massachusetts,1996,1,2,Marcus Camby,210.82,NYK
1121,25.0,Arizona State,1995,1,27,Mario Bennett,198.12,CHI
1122,28.0,Alabama,1992,1,24,Latrell Sprewell,195.58,NYK
1123,25.0,West Florida,1996,2,33,Moochie Norris,187.96,SEA
1124,32.0,Oklahoma,1989,1,12,Mookie Blaylock,185.42,ATL
1125,34.0,Wake Forest,1987,1,12,Muggsy Bogues,160.02,GSW
1126,40.0,Hampton,1980,2,35,Rick Mahorn,208.28,PHI
1127,19.0,Iowa,1998,1,21,Ricky Davis,200.66,CHH
1128,32.0,Marist,1988,1,2,Rik Smits,223.52,IND
1129,28.0,Alabama,1992,1,11,Robert Horry,208.28,LAL
1130,30.0,Southern California,Undrafted,Undrafted,Undrafted,Robert Pack,187.96,DAL
1131,22.0,Michigan,1998,1,6,Robert Traylor,203.2,MIL
1132,32.0,DePaul,1988,1,19,Rod Strickland,190.5,WAS
1133,28.0,Wake Forest,1993,1,9,Rodney Rogers,200.66,LAC
1134,25.0,Southern California,1997,1,24,Rodrick Rhodes,198.12,VAN
1135,35.0,Miami (OH),1986,1,8,Ron Harper,198.12,CHI
1136,23.0,Kentucky,1997,1,6,Ron Mercer,200.66,BOS
1137,34.0,Syracuse,1988,1,9,Rony Seikaly,210.82,NJN
1138,23.0,Duke,1998,1,20,Roshown McLeod,203.2,ATL
1139,29.0,North Carolina,1991,1,24,Rick Fox,200.66,LAL
1140,23.0,Cincinnati,1998,2,31,Ruben Patterson,198.12,LAL
1141,23.0,South Carolina,1998,2,48,Ryan Stack,210.82,CLE
1142,29.0,Florida State,1993,1,24,Sam Cassell,190.5,MIL
1143,23.0,Minnesota,1998,1,26,Sam Jacobson,193.04,LAL
1144,29.0,Houston,Undrafted,Undrafted,Undrafted,Sam Mack,200.66,HOU
1145,35.0,Mercer,1985,3,54,Sam Mitchell,200.66,MIN
1146,38.0,North Carolina,1984,1,4,Sam Perkins,205.74,IND
1147,23.0,Louisville,1996,1,9,Samaki Walker,205.74,DAL
1148,24.0,Kansas,1997,1,19,Scot Pollard,210.82,SAC
1149,28.0,Connecticut,1993,1,20,Scott Burrell,200.66,NJN
1150,31.0,North Carolina,Undrafted,Undrafted,Undrafted,Scott Williams,208.28,MIL
1151,33.0,Central Arkansas,1987,1,5,Scottie Pippen,200.66,HOU
1152,31.0,Arizona,1989,1,3,Sean Elliott,203.2,SAS
1153,23.0,California,1998,2,44,Sean Marks,208.28,TOR
1154,25.0,Wake Forest,Undrafted,Undrafted,Undrafted,Rusty LaRue,190.5,CHI
1155,27.0,Temple,Undrafted,Undrafted,Undrafted,Rick Brunson,193.04,NYK
1156,29.0,Kansas,1993,1,16,Rex Walters,193.04,MIA
1157,31.0,Kentucky,1988,1,8,Rex Chapman,193.04,PHX
1158,21.0,Kentucky,1998,1,29,Nazr Mohammed,208.28,PHI
1159,32.0,Dayton,1990,2,31,Negele Knight,185.42,TOR
1160,31.0,Illinois,1989,1,11,Nick Anderson,198.12,ORL
1161,27.0,Cincinnati,1993,2,37,Nick Van Exel,185.42,DEN
1162,34.0,Virginia,1987,1,8,Olden Polynice,213.36,SEA
1163,29.0,Arkansas,1992,1,22,Oliver Miller,205.74,SAC
1164,25.0,Georgetown,1996,2,30,Othella Harrington,205.74,HOU
1165,36.0,Providence,1984,1,9,Otis Thorpe,208.28,WAS
1166,29.0,Louisiana Tech,1992,2,29,P.J. Brown,210.82,MIA
1167,22.0,Notre Dame,1998,1,19,Pat Garrity,205.74,PHX
1168,36.0,Georgetown,1985,1,1,Patrick Ewing,213.36,NYK
1169,25.0,Wisconsin,1997,1,20,Paul Grant,213.36,MIL
1170,21.0,Kansas,1998,1,10,Paul Pierce,200.66,BOS
1171,22.0,None,1996,1,14,Peja Stojakovic,205.74,SAC
1172,30.0,North Carolina,1991,1,27,Pete Chilcutt,208.28,VAN
1173,26.0,Liberty,Undrafted,Undrafted,Undrafted,Peter Aluma,208.28,SAC
1174,33.0,UCLA,1989,1,10,Pooh Richardson,185.42,LAC
1175,29.0,Murray State,1992,2,41,Popeye Jones,203.2,BOS
1176,23.0,Kansas,1998,1,3,Raef LaFrentz,210.82,DEN
1177,23.0,Florida State,1999,Undrafted,Undrafted,Randell Jackson,210.82,WAS
1178,31.0,New Mexico State,1991,2,31,Randy Brown,187.96,CHI
1179,24.0,Louisiana State,1996,2,42,Randy Livingston,193.04,PHX
1180,19.0,None,1998,2,32,Rashard Lewis,208.28,SEA
1181,24.0,North Carolina,1995,1,4,Rasheed Wallace,210.82,POR
1182,23.0,None,1998,1,17,Rasho Nesterovic,213.36,MIN
1183,23.0,Connecticut,1996,1,5,Ray Allen,195.58,MIL
1184,31.0,New Mexico State,Undrafted,Undrafted,Undrafted,Reggie Jordan,193.04,MIN
1185,33.0,UCLA,1987,1,11,Reggie Miller,200.66,IND
1186,28.0,Wyoming,Undrafted,Undrafted,Undrafted,Reggie Slater,200.66,TOR
1187,28.0,Georgia Tech,1991,1,2,Kenny Anderson,185.42,BOS
1188,31.0,Illinois,1990,1,5,Kendall Gill,195.58,NJN
1189,24.0,Iowa State,1997,1,15,Kelvin Cato,210.82,POR
1190,23.0,Southern Mississippi,Undrafted,Undrafted,Undrafted,Kelly McCarty,200.66,DEN
1191,30.0,Memphis,1991,2,37,Elliot Perry,182.88,NJN
1192,27.0,North Carolina,1994,1,9,Eric Montross,213.36,DET
1193,31.0,Providence,1991,1,21,Eric Murdock,185.42,NJN
1194,28.0,Nebraska,1994,1,15,Eric Piatkowski,200.66,LAC
1195,29.0,Michigan,1993,2,33,Eric Riley,213.36,BOS
1196,26.0,Michigan State,1995,2,43,Eric Snow,190.5,PHI
1197,25.0,Alabama,1997,2,46,Eric Washington,193.04,DEN
1198,26.0,Providence,1995,1,14,Eric Williams,203.2,DEN
1199,23.0,Mississippi State,1996,1,10,Erick Dampier,210.82,GSW
1200,25.0,Nebraska,Undrafted,Undrafted,Undrafted,Erick Strickland,190.5,DAL
1201,31.0,New Orleans,1993,1,23,Ervin Johnson,210.82,MIL
1202,26.0,Auburn-Montgomery,Undrafted,Undrafted,Undrafted,Etdrick Bohannon,205.74,WAS
1203,24.0,St. John's (NY),1998,1,24,Felipe Lopez,198.12,VAN
1204,31.0,Washington,1992,Undrafted,Undrafted,Eldridge Recasner,193.04,CHH
1205,31.0,Louisville,1990,1,6,Felton Spencer,213.36,GSW
1206,34.0,Michigan,1988,1,15,Gary Grant,190.5,POR
1207,30.0,Oregon State,1990,1,2,Gary Payton,193.04,SEA
1208,24.0,Ohio,1995,1,11,Gary Trent,203.2,DAL
1209,28.0,North Carolina,1993,1,12,George Lynch,203.2,PHI
1210,32.0,Florida State,1989,1,7,George McCloud,203.2,PHX
1211,23.0,Pepperdine,Undrafted,Undrafted,Undrafted,Gerald Brown,193.04,PHX
1212,35.0,Tennessee-Chattanooga,1985,2,47,Gerald Wilkins,198.12,ORL
1213,26.0,Nicholls State,Undrafted,Undrafted,Undrafted,Gerard King,205.74,SAS
1214,28.0,None,1993,2,30,Gheorghe Muresan,231.14,NJN
1215,32.0,Michigan,1989,1,4,Glen Rice,203.2,LAL
1216,26.0,Purdue,1994,1,1,Glenn Robinson,200.66,MIL
1217,26.0,Duke,1994,1,3,Grant Hill,203.2,DET
1218,33.0,Eastern Michigan,1988,2,33,Grant Long,205.74,ATL
1219,26.0,Iowa State,1995,2,52,Fred Hoiberg,193.04,IND
1220,30.0,Clemson,1990,1,27,Elden Campbell,213.36,CHH
1221,27.0,Temple,1994,1,10,Eddie Jones,198.12,CHH
1222,40.0,Illinois,1981,2,29,Eddie Johnson,200.66,HOU
1223,25.0,Louisville,1997,2,51,DeJuan Wheat,182.88,VAN
1224,32.0,Indiana,1988,2,38,Dean Garrett,210.82,MIN
1225,30.0,Jacksonville,1990,1,19,Dee Brown,187.96,TOR
1226,35.0,Virginia Tech,1986,1,15,Dell Curry,195.58,MIL
1227,38.0,Southeastern Oklahoma State,1986,2,27,Dennis Rodman,200.66,LAL
1228,30.0,Georgia Tech,1990,1,4,Dennis Scott,203.2,MIN
1229,24.0,Kentucky,1997,1,13,Derek Anderson,195.58,CLE
1230,24.0,Arkansas-Little Rock,1996,1,24,Derek Fisher,185.42,LAL
1231,37.0,Illinois,1983,1,11,Derek Harper,193.04,LAL
1232,31.0,Xavier,1990,2,47,Derek Strong,205.74,ORL
1233,32.0,Syracuse,1990,1,1,Derrick Coleman,208.28,CHH
1234,32.0,Alabama,1987,1,9,Derrick McKey,208.28,IND
1235,36.0,Washington,1985,1,8,Detlef Schrempf,208.28,SEA
1236,27.0,Providence,1994,1,21,Dickey Simpkins,205.74,CHI
1237,33.0,Georgetown,1991,1,4,Dikembe Mutombo,218.44,ATL
1238,21.0,None,1998,1,9,Dirk Nowitzki,213.36,DAL
1239,39.0,Georgia,1982,1,3,Dominique Wilkins,203.2,ORL
1240,29.0,UCLA,1992,1,19,Don MacLean,208.28,SEA
1241,25.0,Georgetown,1995,2,58,Don Reid,203.2,DET
1242,26.0,Connecticut,1994,1,4,Donyell Marshall,205.74,GSW
1243,29.0,Pepperdine,1992,1,17,Doug Christie,198.12,TOR
