age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
85,28.0,Oregon State,1990,1,2,Gary Payton,193.04,SEA
86,22.0,Ohio,1995,1,11,Gary Trent,203.2,POR
87,28.0,Northwestern Oklahoma,1994,2,34,Gaylon Nickerson,190.5,WAS
88,26.0,North Carolina,1993,1,12,George Lynch,203.2,VAN
89,30.0,Florida State,1989,1,7,George McCloud,203.2,LAL
90,23.0,UCLA,1995,1,22,George Zidek,213.36,DEN
91,33.0,Tennessee-Chattanooga,1985,2,47,Gerald Wilkins,198.12,ORL
92,26.0,None,1993,2,30,Gheorghe Muresan,231.14,WAS
93,30.0,Michigan,1989,1,4,Glen Rice,203.2,CHH
94,37.0,Penn State,1981,3,57,Frank Brickowski,205.74,BOS
95,24.0,Purdue,1994,1,1,Glenn Robinson,200.66,MIL
96,31.0,Eastern Michigan,1988,2,33,Grant Long,205.74,DET
97,33.0,Houston,1987,1,23,Greg Anderson,208.28,SAS
98,29.0,Nevada-Las Vegas,1991,1,12,Greg Anthony,185.42,VAN
99,33.0,Kansas,1986,2,26,Greg Dreiling,215.9,DAL
100,28.0,Texas-El Paso,1990,2,35,Greg Foster,210.82,UTA
101,26.0,Indiana,1993,1,17,Greg Graham,193.04,SEA
102,25.0,Louisville,1994,1,25,Greg Minor,198.12,BOS
103,24.0,Kansas,1995,1,28,Greg Ostertag,218.44,UTA
104,34.0,Houston,1984,1,1,Hakeem Olajuwon,213.36,HOU
105,31.0,Oklahoma,1988,1,12,Harvey Grant,205.74,WAS
106,31.0,Oral Roberts,1989,2,49,Haywoode Workman,187.96,IND
107,24.0,Duke,1994,1,3,Grant Hill,203.2,DET
108,28.0,Jacksonville,1990,1,19,Dee Brown,187.96,BOS
109,30.0,Indiana,1988,2,38,Dean Garrett,210.82,MIN
110,32.0,Nevada-Reno,Undrafted,Undrafted,Undrafted,David Wood,205.74,MIL
111,25.0,Southern Illinois,Undrafted,Undrafted,Undrafted,Ashraf Amaya,203.2,WAS
112,32.0,Southern,Undrafted,Undrafted,Undrafted,Avery Johnson,180.34,SAS
113,29.0,Iowa,1989,1,18,B.J. Armstrong,187.96,GSW
114,24.0,Arizona,1996,2,43,Ben Davis,205.74,PHX
115,22.0,Virginia Union,Undrafted,Undrafted,Undrafted,Ben Wallace,205.74,WAS
116,32.0,Creighton,1985,1,3,Benoit Benjamin,213.36,TOR
117,34.0,St. John's (NY),1985,1,16,Bill Wennington,213.36,CHI
118,28.0,Syracuse,1991,1,3,Billy Owens,205.74,SAC
119,29.0,Virginia Tech,1990,2,40,Bimbo Coles,187.96,GSW
120,28.0,Arizona,1991,1,10,Bison Dele,210.82,CHI
121,31.0,East Carolina,1989,1,21,Blue Edwards,193.04,VAN
122,26.0,Houston,Undrafted,Undrafted,Undrafted,Bo Outlaw,203.2,LAC
123,24.0,Florida State,1995,1,17,Bob Sura,195.58,CLE
124,26.0,Duke,1993,1,7,Bobby Hurley,182.88,SAC
125,27.0,Southern,1991,2,45,Bobby Phills,195.58,CLE
126,32.0,Iowa,1987,2,45,Brad Lohaus,210.82,TOR
127,25.0,Oregon State,1995,1,15,Brent Barry,198.12,LAC
128,28.0,Oklahoma,1992,2,32,Brent Price,185.42,HOU
