player_name,team_abbreviation,points,rebounds,assists,net_rating,season
89,George McCloud,LAL,10.2,2.8,1.7,-2.7,1996-97
90,George Zidek,DEN,2.8,1.7,0.3,-14.1,1996-97
91,Gerald Wilkins,ORL,10.6,2.2,2.2,-5.8,1996-97
92,Gheorghe Muresan,WAS,10.6,6.6,0.4,6.9,1996-97
93,Glen Rice,CHH,26.8,4.0,2.0,3.2,1996-97
94,Frank Brickowski,BOS,4.8,2.0,0.9,-22.4,1996-97
95,Glenn Robinson,MIL,21.1,6.3,3.1,-2.9,1996-97
96,Grant Long,DET,5.0,3.4,0.6,4.0,1996-97
97,Greg Anderson,SAS,3.9,5.5,0.4,-14.2,1996-97
98,Greg Anthony,VAN,9.5,2.8,6.3,-9.4,1996-97
99,Greg Dreiling,DAL,2.0,1.9,0.3,-8.0,1996-97
100,Greg Foster,UTA,3.5,2.4,0.4,-0.9,1996-97
101,Greg Graham,SEA,3.3,0.5,0.4,3.6,1996-97
102,Greg Minor,BOS,9.6,3.5,1.5,-2.1,1996-97
103,Greg Ostertag,UTA,7.3,7.3,0.4,15.9,1996-97
104,Hakeem Olajuwon,HOU,23.2,9.2,3.0,6.5,1996-97
105,Harvey Grant,WAS,4.1,3.3,0.9,1.7,1996-97
106,Haywoode Workman,IND,5.5,1.8,2.8,-7.3,1996-97
107,Grant Hill,DET,21.4,9.0,7.3,6.9,1996-97
108,Dee Brown,BOS,7.6,2.3,3.2,-7.5,1996-97
109,Dean Garrett,MIN,8.0,7.3,0.6,1.2,1996-97
110,David Wood,MIL,1.2,0.6,0.3,3.9,1996-97
111,Ashraf Amaya,WAS,1.3,1.7,0.1,-8.6,1996-97
112,Avery Johnson,SAS,10.5,1.9,6.8,-8.6,1996-97
113,B.J. Armstrong,GSW,7.9,1.5,2.6,-6.5,1996-97
114,Ben Davis,PHX,1.5,1.4,0.0,-0.4,1996-97
115,Ben Wallace,WAS,1.1,1.7,0.1,-3.5,1996-97
116,Benoit Benjamin,TOR,3.3,2.3,0.3,-9.1,1996-97
117,Bill Wennington,CHI,4.6,2.1,0.7,7.7,1996-97
118,Billy Owens,SAC,11.0,5.9,2.8,-3.0,1996-97
119,Bimbo Coles,GSW,6.1,2.3,2.9,-6.3,1996-97
120,Bison Dele,CHI,7.0,3.7,1.3,0.9,1996-97
121,Blue Edwards,VAN,7.8,3.1,1.9,-11.1,1996-97
122,Bo Outlaw,LAC,7.6,5.5,1.9,4.0,1996-97
123,Bob Sura,CLE,9.2,3.8,4.8,1.0,1996-97
124,Bobby Hurley,SAC,2.9,0.8,3.0,-2.6,1996-97
125,Bobby Phills,CLE,12.6,3.6,3.4,3.3,1996-97
126,Brad Lohaus,TOR,1.7,1.2,0.2,-38.4,1996-97
127,Brent Barry,LAC,7.5,1.9,2.6,4.1,1996-97
128,Brent Price,HOU,5.0,1.2,2.6,2.9,1996-97
129,Brent Scott,IND,1.2,0.6,0.2,4.9,1996-97
130,Brett Szabo,BOS,2.2,2.4,0.2,-11.1,1996-97
131,Brian Evans,ORL,1.4,0.6,0.5,-12.5,1996-97
132,Brian Grant,SAC,10.5,5.9,1.2,-7.7,1996-97
133,Brian Shaw,ORL,7.2,2.5,4.1,-10.5,1996-97
134,Arvydas Sabonis,POR,13.4,7.9,2.1,8.1,1996-97
135,Armen Gilliam,MIL,8.6,6.2,0.7,-3.7,1996-97
136,Antonio McDyess,DEN,18.3,7.3,1.4,-7.5,1996-97
137,Antonio Lang,CLE,2.7,2.0,0.5,0.7,1996-97
138,A.C. Green,DAL,7.2,7.9,0.8,-8.0,1996-97
139,Aaron McKie,DET,5.2,2.7,1.9,5.2,1996-97
140,Aaron Williams,VAN,6.2,4.3,0.5,-8.3,1996-97
141,Acie Earl,MIL,4.0,2.0,0.4,-6.4,1996-97
142,Adam Keefe,UTA,3.8,3.5,0.5,6.7,1996-97
143,Adrian Caldwell,PHI,2.2,3.7,0.3,-6.2,1996-97
144,Alan Henderson,ATL,6.6,3.9,0.8,-9.7,1996-97
145,Aleksandar Djordjevic,POR,3.1,0.6,0.6,4.8,1996-97
146,Allan Houston,NYK,14.8,3.0,2.2,2.9,1996-97
147,Allen Iverson,PHI,23.5,4.1,7.5,-7.0,1996-97
148,Alonzo Mourning,MIA,19.8,9.9,1.6,10.5,1996-97
149,Brooks Thompson,DEN,6.6,1.4,2.7,-6.2,1996-97
150,Alton Lister,BOS,1.6,3.2,0.2,-13.3,1996-97
151,Andrew DeClercq,GSW,5.3,4.2,0.5,-5.6,1996-97
152,Andrew Lang,MIL,5.3,5.3,0.5,-1.2,1996-97
153,Anfernee Hardaway,ORL,20.5,4.5,5.6,4.6,1996-97
154,Anthony Goldwire,DEN,6.5,1.4,3.7,-4.1,1996-97
155,Anthony Mason,CHH,16.2,11.4,5.7,2.6,1996-97
156,Anthony Miller,ATL,0.0,7.0,0.0,-50.0,1996-97
157,Anthony Peeler,VAN,14.5,3.4,3.6,-10.4,1996-97
158,Antoine Carr,UTA,7.4,2.4,0.9,2.2,1996-97
159,Antoine Walker,BOS,17.5,9.0,3.2,-9.3,1996-97
160,Antonio Davis,IND,10.5,7.3,0.8,3.4,1996-97
161,Antonio Harvey,SEA,2.5,1.7,0.2,1.4,1996-97
162,Amal McCaskill,ORL,1.6,1.3,0.4,-15.7,1996-97
163,Bruce Bowen,MIA,0.0,0.0,0.0,300.0,1996-97
164,Bryant Reeves,VAN,16.2,8.1,2.1,-10.6,1996-97
165,Bryant Stith,DEN,14.9,4.2,2.6,-5.6,1996-97
166,Clifford Robinson,POR,15.1,4.0,3.2,4.4,1996-97
167,Clifford Rozier,TOR,4.5,5.6,0.7,-6.3,1996-97
168,Clyde Drexler,HOU,18.0,6.0,5.7,7.5,1996-97
169,Corie Blount,LAL,4.2,4.8,0.6,2.0,1996-97
170,Corliss Williamson,SAC,11.6,4.1,1.6,-4.2,1996-97
171,Cory Alexander,SAS,7.2,1.5,3.2,-8.8,1996-97
172,Craig Ehlo,SEA,3.5,1.8,1.1,5.7,1996-97
173,Cuonzo Martin,MIL,0.0,0.3,0.3,-12.1,1996-97
174,Dale Davis,IND,10.4,9.7,0.7,-0.2,1996-97
175,Dale Ellis,DEN,16.6,3.6,2.0,-9.1,1996-97
176,Damon Stoudamire,TOR,20.2,4.1,8.8,-3.7,1996-97
177,Clar. Weatherspoon,PHI,12.2,8.3,1.7,-8.3,1996-97
178,Dan Majerle,MIA,10.8,4.5,3.2,4.7,1996-97
179,Dana Barros,BOS,12.5,2.0,3.4,-10.0,1996-97
180,Danny Ferry,CLE,10.6,4.1,1.8,2.3,1996-97
181,Danny Manning,PHX,13.5,6.1,2.2,3.1,1996-97
182,Darrell Armstrong,ORL,6.1,1.1,2.6,0.3,1996-97
183,Darrick Martin,LAC,10.9,1.4,4.1,-4.5,1996-97
184,Darrin Hancock,ATL,1.8,0.8,0.5,-2.6,1996-97
185,Darvin Ham,IND,2.3,1.6,0.4,-2.0,1996-97
186,David Robinson,SAS,17.7,8.5,1.3,9.6,1996-97
187,David Vaughn,ORL,2.3,2.7,0.2,-7.5,1996-97
188,David Wesley,BOS,16.8,3.6,7.3,-7.4,1996-97
189,David Wingate,SEA,3.6,1.1,1.2,2.8,1996-97
190,Dan Schayes,ORL,3.0,2.8,0.3,-1.5,1996-97
191,Jerome Allen,DEN,3.0,1.3,2.0,-3.7,1996-97
192,Chucky Brown,MIL,2.9,2.1,0.4,-5.9,1996-97
193,Chris Whitney,WAS,5.2,1.3,2.2,2.0,1996-97
194,Bryon Russell,UTA,10.8,4.1,1.5,13.5,1996-97
195,Buck Williams,NYK,6.3,5.4,0.7,6.9,1996-97
196,Byron Scott,LAL,6.7,1.5,1.3,6.7,1996-97
197,Calbert Cheaney,WAS,10.6,3.4,1.4,2.0,1996-97
198,Carl Herrera,SAS,8.0,4.5,0.7,-9.7,1996-97
199,Carl Thomas,CLE,1.1,0.7,0.4,-8.9,1996-97
200,Carlos Rogers,TOR,9.8,5.4,0.7,-5.7,1996-97
201,Cedric Ceballos,PHX,14.6,6.6,1.3,4.1,1996-97
202,Charles Barkley,HOU,19.2,13.5,4.7,7.5,1996-97
203,Charles Jones,HOU,0.3,1.1,0.3,2.6,1996-97
204,Charles Oakley,NYK,10.8,9.8,2.8,3.4,1996-97
205,Christian Laettner,ATL,18.1,8.8,2.7,11.0,1996-97
206,Charles Smith,SAS,4.6,3.4,0.7,-4.9,1996-97
207,Cherokee Parks,MIN,3.3,2.6,0.4,-0.6,1996-97
208,Chris Carr,MIN,6.1,2.1,0.9,3.8,1996-97
209,Chris Childs,NYK,9.3,2.9,6.1,5.2,1996-97
210,Chris Dudley,POR,3.9,7.3,0.5,-0.2,1996-97
211,Chris Gatling,NJN,19.0,7.9,0.6,-4.1,1996-97
212,Chris Jent,NYK,2.0,0.3,0.3,-29.8,1996-97
213,Chris Mills,CLE,13.4,6.2,2.5,4.5,1996-97
214,Chris Morris,UTA,4.3,2.2,0.6,-7.3,1996-97
215,Chris Mullin,GSW,14.5,4.0,4.1,-4.9,1996-97
216,Chris Robinson,VAN,4.6,1.7,1.6,-11.4,1996-97
217,Chris Webber,WAS,20.1,10.3,4.6,3.4,1996-97
218,Charlie Ward,NYK,5.2,2.8,4.1,4.0,1996-97
219,Jerome Kersey,LAL,6.8,5.2,1.3,4.1,1996-97
220,Fred Hoiberg,IND,4.8,1.7,0.9,4.9,1996-97
221,Jerry Stackhouse,PHI,20.7,4.2,3.1,-6.8,1996-97
222,Rumeal Robinson,POR,3.3,0.9,1.4,4.5,1996-97
223,Sam Cassell,NJN,15.9,3.0,5.0,-1.7,1996-97
224,Sam Mack,HOU,5.6,2.0,1.1,-1.7,1996-97
225,Sam Mitchell,MIN,9.3,4.0,1.0,-4.9,1996-97
226,Sam Perkins,SEA,11.0,3.7,1.3,10.6,1996-97
227,Samaki Walker,DAL,4.9,3.4,0.4,-12.6,1996-97
228,Sarunas Marciulionis,DEN,6.8,1.8,1.5,-7.6,1996-97
229,Sasha Danilovic,DAL,12.5,2.4,1.8,1.5,1996-97
230,Scott Brooks,NYK,1.5,0.5,0.8,3.8,1996-97
231,Scott Burrell,GSW,5.2,2.8,1.3,1.4,1996-97
232,Scott Williams,PHI,5.8,6.4,0.7,-4.6,1996-97
233,Ruben Nembhard,POR,4.0,0.8,1.7,-0.3,1996-97
234,Scottie Pippen,CHI,20.2,6.5,5.7,13.5,1996-97
235,Sean Rooks,LAL,3.8,2.4,0.6,1.3,1996-97
236,Sedale Threatt,HOU,3.3,1.1,1.9,-3.5,1996-97
237,Shandon Anderson,UTA,5.9,2.8,0.8,2.5,1996-97
238,Shane Heal,MIN,1.7,0.4,0.8,-0.7,1996-97
239,Shaquille O'Neal,LAL,26.2,12.5,3.1,6.9,1996-97
240,Shareef Abdur-Rahim,VAN,18.7,6.9,2.2,-12.3,1996-97
241,Sharone Wright,TOR,6.5,3.1,0.5,-9.3,1996-97
242,Shawn Bradley,DAL,13.2,8.4,0.7,-5.9,1996-97
243,Shawn Kemp,SEA,18.7,10.0,1.9,8.9,1996-97
244,Jerome Williams,DET,1.5,1.5,0.2,3.0,1996-97
245,Shawnelle Scott,CLE,1.3,1.0,0.0,6.8,1996-97
246,Sean Elliott,SAS,14.9,4.9,3.2,-5.7,1996-97
247,Sherman Douglas,MIL,9.7,2.4,5.4,-3.0,1996-97
248,Roy Rogers,VAN,6.6,4.7,0.6,-13.6,1996-97
249,Ron Harper,CHI,6.3,2.5,2.5,14.0,1996-97
250,Randolph Childress,DET,1.7,0.3,0.7,-0.9,1996-97
251,Randy Brown,CHI,4.7,1.5,1.8,10.4,1996-97
252,Randy Livingston,HOU,3.9,1.5,2.4,0.3,1996-97
253,Rasheed Wallace,POR,15.1,6.8,1.2,7.8,1996-97
254,Ray Allen,MIL,13.4,4.0,2.6,-2.0,1996-97
255,Ray Owes,GSW,3.1,2.9,0.3,-8.0,1996-97
256,Reggie Geary,CLE,1.5,0.4,0.9,7.7,1996-97
257,Reggie Jordan,MIN,2.1,1.4,0.6,4.2,1996-97
258,Reggie Miller,IND,21.6,3.5,3.4,0.9,1996-97
259,Reggie Slater,TOR,7.8,3.7,0.8,1.5,1996-97
260,Reggie Williams,NJN,5.8,2.4,0.8,-12.8,1996-97
261,Rony Seikaly,ORL,17.3,9.5,1.2,-1.7,1996-97
262,Rex Chapman,PHX,13.8,2.8,2.8,2.7,1996-97
263,Richard Manning,LAC,2.9,1.5,0.1,-6.8,1996-97
264,Rick Fox,BOS,15.4,5.2,3.8,-6.9,1996-97
265,Rick Mahorn,DET,2.5,2.4,0.3,-0.1,1996-97
266,Ricky Pierce,CHH,11.0,2.0,1.3,-1.6,1996-97
267,Rik Smits,IND,17.1,6.9,1.3,1.4,1996-97
268,Robert Horry,LAL,7.8,4.4,2.0,2.7,1996-97
269,Robert Pack,DAL,14.3,2.7,8.4,-8.3,1996-97
270,Robert Parish,CHI,3.7,2.1,0.5,14.9,1996-97
271,Robert Werdann,NJN,1.5,1.0,0.0,-14.5,1996-97
272,Rod Strickland,WAS,17.2,4.1,8.9,1.7,1996-97
273,Rodney Rogers,LAC,13.2,5.1,2.7,-3.5,1996-97
274,Rex Walters,PHI,6.8,1.8,1.9,-11.1,1996-97
275,Rafael Addison,CHH,3.1,1.1,0.8,-4.0,1996-97
276,Stacey Augmon,POR,4.7,2.3,0.9,6.0,1996-97
277,Stanley Roberts,LAC,9.5,5.1,0.5,2.6,1996-97
278,Tracy Moore,HOU,3.7,1.0,0.7,-7.7,1996-97
279,Tracy Murray,WAS,10.0,3.1,1.0,1.9,1996-97
280,Travis Best,IND,9.9,2.2,4.2,2.5,1996-97
281,Travis Knight,LAL,4.8,4.5,0.5,6.2,1996-97
282,Tyrone Corbin,ATL,9.5,4.2,1.8,10.5,1996-97
283,Tyrone Hill,CLE,12.9,9.9,1.2,5.3,1996-97
284,Tyus Edney,SAC,6.9,1.6,3.2,-2.0,1996-97
285,Vernon Maxwell,SAS,12.9,2.2,2.1,-7.0,1996-97
286,Vin Baker,MIL,21.0,10.3,2.7,-1.6,1996-97
287,Vincent Askew,DEN,5.6,2.3,2.1,0.0,1996-97
288,Vinny Del Negro,SAS,12.3,2.9,3.2,-8.1,1996-97
289,Tony Smith,CHH,5.0,1.4,2.2,0.7,1996-97
290,Vitaly Potapenko,CLE,5.8,2.7,0.5,-0.2,1996-97
291,Voshon Lenard,MIA,12.3,3.0,2.2,8.2,1996-97
292,Walt Williams,TOR,16.4,5.0,2.7,-1.7,1996-97
293,Walter McCarty,NYK,1.8,0.7,0.4,3.2,1996-97
294,Wayman Tisdale,PHX,6.5,2.3,0.4,-3.5,1996-97
295,Wesley Person,PHX,13.5,3.7,1.5,0.7,1996-97
296,Will Perdue,SAS,8.7,9.8,0.6,-4.7,1996-97
297,Willie Anderson,MIA,3.0,1.5,1.2,-1.0,1996-97
298,Willie Burton,ATL,6.2,1.7,0.5,-4.8,1996-97
299,Xavier McDaniel,NJN,5.6,5.1,1.0,-0.8,1996-97
300,Yinka Dare,NJN,1.4,2.0,0.1,-1.4,1996-97
301,Zan Tabak,TOR,6.5,3.8,1.1,-12.2,1996-97
302,Vlade Divac,CHH,12.6,9.0,3.7,5.4,1996-97
303,Stacey King,DAL,2.2,2.5,0.1,-18.7,1996-97
304,Tony Massenburg,NJN,7.2,6.5,0.3,-6.2,1996-97
305,Tony Delk,CHH,5.4,1.6,1.6,0.9,1996-97
306,Stephen Howard,UTA,3.6,1.7,0.2,0.1,1996-97
307,Stephon Marbury,MIN,15.8,2.7,7.8,-3.1,1996-97
308,Steve Hamer,BOS,2.2,1.7,0.2,-3.1,1996-97
309,Steve Kerr,CHI,8.1,1.6,2.1,10.1,1996-97
310,Steve Nash,PHX,3.3,1.0,2.1,-8.5,1996-97
311,Steve Scheffler,SEA,1.6,0.4,0.0,-19.9,1996-97
312,Steven Smith,ATL,20.1,3.3,4.2,7.4,1996-97
313,Stevin Smith,DAL,1.8,1.3,0.5,-6.8,1996-97
314,Stojko Vrankovic,MIN,3.4,3.2,0.3,-7.1,1996-97
315,Terrell Brandon,CLE,19.5,3.9,6.3,2.7,1996-97
316,Terry Cummings,SEA,8.2,4.1,0.9,1.3,1996-97
317,Tony Dumas,PHX,3.6,0.7,1.0,-4.1,1996-97
318,Terry Dehere,LAC,6.4,1.3,2.2,-0.5,1996-97
319,Terry Porter,MIN,6.9,2.1,3.6,2.1,1996-97
320,Theo Ratliff,DET,5.8,3.4,0.2,7.3,1996-97
321,Tim Hardaway,MIA,20.3,3.4,8.6,8.9,1996-97
322,Tim Kempton,SAS,0.4,0.8,0.2,-6.2,1996-97
323,Tim Legler,WAS,2.9,1.4,0.5,-3.5,1996-97
324,Todd Day,BOS,14.5,4.1,1.4,-7.8,1996-97
325,Todd Fuller,GSW,4.0,3.3,0.3,-8.6,1996-97
326,Tom Chambers,CHH,1.6,1.2,0.3,-33.6,1996-97
327,Tom Gugliotta,MIN,20.6,8.7,4.1,-2.0,1996-97
328,Tom Hammonds,DEN,6.2,5.0,0.8,-7.3,1996-97
329,Toni Kukoc,CHI,13.2,4.6,4.5,15.2,1996-97
